time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0112000	25.7928	29.5659	29.1087	23.9199	20.5432	31.4283	33.0569	30.2748	24.9049	12.884	9.74913	6.89671	8.075	7.50102	22.8597	26.0852	26.0493	29.4734	33.8754	33.7858	29.3896
PF3D7_0112100	11.8465	5.63804	4.83402	3.87069	2.24597	1.42797	1.907801	1.118205	1.63207	1	1.772305	1.915268	6.95178	5.31866	5.53696	3.68065	2.71653	1.992617	1.808088	1.19687	1.111198
PF3D7_0112200	10.09747	18.8069	32.7707	54.5808	112.842	104.559	95.8875	99.4777	53.7312	39.3196	22.0857	11.7888	10.36145	7.79957	13.4849	36.1598	70.2969	90.6148	86.8587	83.594	64.2463
PF3D7_0112300	1.608482	1.902246	1.452536	1.273274	1.746552	1.444216	1.560167	1.237847	2.09558	2.15674	3.30548	2.10875	22.1328	2.06818	1.358236	1.704533	2.49538	2.70529	1.591516	1.56154	2.70908
PF3D7_0112500	1	23.9214	1	1	15.8931	1	14.6319	1	1	1	24.0247	1	1	1	1	1	1	1	14.6676	48.0697	1
PF3D7_0112600	1.538788	1.81375	3.39018	4.37038	6.16528	3.29371	5.93931	7.67328	5.41422	4.7974	2.97621	2.24297	3.96681	4.9681	2.68733	3.67439	4.0163	3.08906	4.42758	6.84167	12.2887
PF3D7_0112700	536.246	593.269	561.652	334.686	504.696	343.701	576.033	195.136	452.362	369.179	588.256	512.805	2659.36	825.233	304.796	558.105	559.798	575.803	340.842	307.975	494.42
PF3D7_0112800	44.8313	13.0055	5.33248	2.92046	2.57165	1.756652	2.9299	3.06748	5.81561	4.88039	4.68037	8.33296	7.28869	8.13117	10.62388	5.37842	3.54717	2.77171	3.35893	3.91198	4.95224
PF3D7_0112900	2.34126	2.12347	1.761015	1.454885	1.110262	1.765194	1.619256	1.65257	2.60145	2.68743	13.5668	34.0715	110.665	49.2615	4.24453	1.983741	2.11882	1.694726	2.00664	1.780095	2.50751
PF3D7_0113000	214.064	401.053	878.291	913.685	611.495	260.709	145.137	59.2036	28.2928	10.16891	7.60849	8.41193	11.6072	21.304	388.925	725.351	556.788	276.468	130.774	85.5705	33.6552
PF3D7_0113100	1.592637	1.616137	1.34482	1.548813	1.578809	1.601314	1.984922	2.04045	1.640787	1.469704	1.570047	1.514315	1.805718	2.16341	3.02844	1.387058	1.417736	1.579586	1.904374	1.958349	1.643447
